Obs,Segment,Stream Type,Bedform,Ph2SedReg,Class,ElevDS,L,DA,W_Ph2,D84,S,VC,VC_rat,ER,WtoD,IR,d50,d84_d16,nBars,nFCs,pArmor,SSP,SSP_bal
104,19_M06B,C4,Riffle Pool,FSTCD,4,194.4529107,921.6702225,108.6531841,20.9692167,187.1840715,0.4,7.26744186,0.398094315,4.36046505,32.76190948,1.410256386,52.33232101,180.8893811,8.67989418,2.169973545,0.302579365,51.79730394,1.016671643
105,19_M07A,C3,Riffle Pool,CEFD,5,197.8055471,2480.95093,105.8387019,15.02590674,237.516452,0.4,18.25557809,0.47725297,10.1419878,18.25925827,1,184.0926229,230.3860422,4.030712531,0.806142506,0.365479115,50.94791843,0.747960778
106,19_M07B,C3,Plane Bed,FSTCD,4,208.1682414,2418.469979,88.17123237,11.15513563,232.707981,0.6,38.25136612,3.710382514,38.25136948,9.891891479,1.408163309,181.3256852,186.7930949,3.721361059,0.826969124,0.526780088,68.11576208,1.426917551
107,19_M08-,C4,Riffle Pool,CEFD,5,223.7122828,2927.765925,71.73040511,14.78207863,207.2332744,0.478867382,10.30927835,0.525773196,6.226804256,29.21686745,1,51.52834006,205.6458734,15.71163856,1.36622944,0.220144181,47.73629846,0.610936563
108,19_M09-,C4,Riffle Pool,CEFD,5,237.7323987,2014.324901,56.81188576,13.98963731,213.1556683,0.907852948,19.60784314,0.782608696,23.9651413,20.30973434,1,55.29476887,205.6339442,27.80087759,3.971553942,0.20477228,78.13626054,1.114070092
109,19_M10A,C4,Riffle Pool,CEFD,5,256.0195062,345.6263334,35.28825387,13.98963731,213.1556683,1.1,25.05446623,0.601307189,23.9651413,20.30973434,1,55.29476887,205.6339442,26.03968254,2.89329806,0.140216049,70.13585687,1.376808243
110,19_M10B,F4,Plane Bed,UST,3,259.9817129,181.9567205,35.21471696,9.509295946,214.6625258,0.8,41.66666667,1.349358974,1.12179482,15.67839241,2.153846264,51.9958156,208.2753063,16.48743719,0,0.320268007,50.94090424,1.00274935
111,19_M10C,C4,Riffle Pool,FSTCD,4,261.5056385,481.2557147,35.06158307,12.83145383,207.7746606,0.8,30.87885986,5.095011877,11.87648487,30.0714283,1.595744729,53.66563146,201.2102671,39.48005066,6.23369221,0.056209626,50.80123389,0.402153421
112,19_M10D,F3,Plane Bed,UST,3,265.16306,301.7372752,34.76404386,10.05790917,228.7127512,2,6.060606061,0.769112444,1.151515126,18.33333397,2.799999952,128,133.8299214,9.942424242,0,0.148055556,126.3230182,1.183983623
113,19_M08T05.01A,C4b,Plane Bed,FSTCD,4,237.7323987,303.565986,6.690932906,5.333739714,376.2163052,3,22.85714286,12.94721433,40,13.46153927,1.611111164,61.24336451,369.521361,13.17670683,0,0.551375502,67.09934419,0.338651294
114,19_M08T05.01B,A1,Bedrock,TR,1,246.8759525,1648.887534,6.64168018,6.042493737,2936.740348,8.9,1.765410093,0.223752863,1.6,12,1,234.4218561,2740.862783,0,0,0,198.1369787,3.211994272
115,19_M07T04.01-,F3b,Plane Bed,UST,3,225.5409936,1196.891192,11.66651093,6.278573606,252.2704147,2.546473026,9.708737864,0.828390603,1.5,19.61904907,3.529411554,196.5687021,244.2704147,11.6969697,0.835497835,0.058368984,80.84484281,0.694664739
116,19_M01T02.01-,C4,Riffle Pool,CEFD,5,124.9619019,1715.025907,84.46999128,13.13623895,31.68976865,0.444286466,11.60092807,1.935697712,8.468677521,16.8359375,1,24.77153914,24.96031574,22.1570997,1.749244713,0.24942687,49.09373139,1.728906269
